Record Length,16384
Sample Interval,CH1:0.0400000000000 CH2:0.0400000000000
Vertical Units,CH1:V CH2:V,,
Vertical Scale,CH1:0.10 CH2:1.00,,
Vertical Offset,CH1:-0.00400 CH2:0.00,,
Horizontal Units,s,,
Horizontal Scale,50.0000000000,,
Model Number,ADS1102C,,
Serial Number,ADS00003120139,,
Software Version,3.01.01.31R21,,

Source,CH1,CH2
Second,Volt,Volt
-301.68000000000,-0.35200,0.00
-301.64002500000,-0.35200,0.00
-301.60000000000,-0.36400,0.00
-301.56000000000,-0.35600,0.00
-301.52000000000,-0.35200,0.00
-301.48000000000,-0.35200,0.00
-301.44000000000,-0.35600,0.00
-301.40000000000,-0.35600,0.00
-301.35997500000,-0.35600,0.00
-301.32000000000,-0.35200,0.00
-301.28000000000,-0.36400,0.00
-301.24000000000,-0.35600,0.00
-301.20000000000,-0.36000,0.00
-301.16000000000,-0.36400,0.00
-301.12000000000,-0.36800,0.00
-301.07997500000,-0.36400,0.00
-301.04000000000,-0.36400,0.00
-301.00000000000,-0.36800,0.00
-300.96000000000,-0.36800,0.00
-300.92002500000,-0.36000,0.00
-300.88000000000,-0.36000,0.00
-300.84000000000,-0.36000,0.00
-300.80000000000,-0.35600,0.00
-300.76000000000,-0.36400,0.00
-300.72000000000,-0.36400,0.00
-300.68000000000,-0.35600,0.00
-300.64002500000,-0.35200,0.00
-300.60000000000,-0.35200,0.00
-300.56000000000,-0.35600,0.00
-300.52000000000,-0.36400,0.00
-300.48000000000,-0.36400,0.00
-300.44000000000,-0.35600,0.00
-300.40000000000,-0.35600,0.00
-300.35997500000,-0.35600,0.00
-300.32000000000,-0.36400,0.00
-300.28000000000,-0.36400,0.00
-300.24000000000,-0.35600,0.00
-300.20000000000,-0.35200,0.00
-300.16000000000,-0.35200,0.00
-300.12000000000,-0.36400,0.00
-300.07997500000,-0.36400,0.00
-300.04000000000,-0.36800,0.00
-300.00000000000,-0.36400,0.00
-299.96000000000,-0.36400,0.00
-299.92002500000,-0.35200,0.00
-299.88000000000,-0.36400,0.00
-299.84000000000,-0.36000,0.00
-299.80000000000,-0.36400,0.00
-299.76000000000,-0.35200,0.00
-299.72000000000,-0.36400,0.00
-299.68000000000,-0.36000,0.00
-299.64002500000,-0.35200,0.00
-299.60000000000,-0.36000,0.00
-299.56000000000,-0.35200,0.00
-299.52000000000,-0.35600,0.00
-299.48000000000,-0.35600,0.00
-299.44000000000,-0.35600,0.00
-299.40000000000,-0.35200,0.00
-299.35997500000,-0.36800,0.00
-299.32000000000,-0.36000,0.00
-299.28000000000,-0.35600,0.00
-299.24000000000,-0.35600,0.00
-299.20000000000,-0.35600,0.00
-299.16000000000,-0.36000,0.00
-299.12000000000,-0.36000,0.00
-299.07997500000,-0.36400,0.00
-299.04000000000,-0.36000,0.00
